file,time,grp,nsweep,nrange,range_max_m,range_res_m,az_min,az_max,fa_min,fa_max,sweep_mode,fa_sig
corcsapr2cfrppiqcM1.b1.20181113.000003.nc,000003,PPI_vol_15swp,15,1100,109900,100.0,360,361,0.5,32.70000076293945,sector,"0.5,1.5,2.6,3.8,5.1,6.5,8.0,9.6,11.3,13.2,15.5,18.4,22.1,26.9,32.7"
corcsapr2cfrppiqcM1.b1.20181113.001503.nc,001503,PPI_vol_15swp,15,1100,109900,100.0,360,361,0.5,32.70000076293945,sector,"0.5,1.5,2.6,3.8,5.1,6.5,8.0,9.6,11.3,13.2,15.5,18.4,22.1,26.9,32.7"
corcsapr2cfrppiqcM1.b1.20181113.003003.nc,003003,PPI_vol_15swp,15,1100,109900,100.0,360,361,0.5,32.70000076293945,sector,"0.5,1.5,2.6,3.8,5.1,6.5,8.0,9.6,11.3,13.2,15.5,18.4,22.1,26.9,32.7"
corcsapr2cfrppiqcM1.b1.20181113.004503.nc,004503,PPI_vol_15swp,15,1100,109900,100.0,360,361,0.5,32.70000076293945,sector,"0.5,1.5,2.6,3.8,5.1,6.5,8.0,9.6,11.3,13.2,15.5,18.4,22.1,26.9,32.7"
corcsapr2cfrppiqcM1.b1.20181113.010003.nc,010003,PPI_vol_15swp,15,1100,109900,100.0,360,361,0.5,32.70000076293945,sector,"0.5,1.5,2.6,3.8,5.1,6.5,8.0,9.6,11.3,13.2,15.5,18.4,22.1,26.9,32.7"
corcsapr2cfrppiqcM1.b1.20181113.011503.nc,011503,PPI_vol_15swp,15,1100,109900,100.0,360,361,0.5,32.70000076293945,sector,"0.5,1.5,2.6,3.8,5.1,6.5,8.0,9.6,11.3,13.2,15.5,18.4,22.1,26.9,32.7"
corcsapr2cfrppiqcM1.b1.20181113.013003.nc,013003,PPI_vol_15swp,15,1100,109900,100.0,360,361,0.5,32.70000076293945,sector,"0.5,1.5,2.6,3.8,5.1,6.5,8.0,9.6,11.3,13.2,15.5,18.4,22.1,26.9,32.7"
corcsapr2cfrppiqcM1.b1.20181113.014503.nc,014503,PPI_vol_15swp,15,1100,109900,100.0,360,361,0.5,32.70000076293945,sector,"0.5,1.5,2.6,3.8,5.1,6.5,8.0,9.6,11.3,13.2,15.5,18.4,22.1,26.9,32.7"
corcsapr2cfrppiqcM1.b1.20181113.020003.nc,020003,PPI_vol_15swp,15,1100,109900,100.0,360,361,0.5,32.70000076293945,sector,"0.5,1.5,2.6,3.8,5.1,6.5,8.0,9.6,11.3,13.2,15.5,18.4,22.1,26.9,32.7"
corcsapr2cfrppiqcM1.b1.20181113.021503.nc,021503,PPI_vol_15swp,15,1100,109900,100.0,360,361,0.5,32.70000076293945,sector,"0.5,1.5,2.6,3.8,5.1,6.5,8.0,9.6,11.3,13.2,15.5,18.4,22.1,26.9,32.7"
