sweep,fixed_angle,n_vol,naz,nrng,vol_with_DBZH_frac
sweep_0,0.5,242,720,1832,1.0
sweep_1,0.9,242,720,1832,1.0
sweep_2,1.3,242,720,1712,1.0
sweep_3,1.8,242,360,1536,0.996
sweep_4,2.4,242,360,1336,0.996
sweep_5,3.1,242,360,1160,0.996
sweep_6,4.0,242,360,984,0.996
sweep_7,5.1,242,360,820,0.996
sweep_8,6.4,242,360,676,0.996
sweep_9,8.0,242,360,540,0.653
sweep_10,10.0,242,360,452,0.417
sweep_11,12.0,242,360,384,0.293
sweep_12,14.0,242,360,328,0.219
sweep_13,16.7,242,360,276,0.182
sweep_14,19.5,242,360,240,0.14
