volume_time,dbz_p90,dbz_max
2025-11-18 00:01:45,-9.5,43.5
2025-11-18 00:07:26,-10.5,49.5
2025-11-18 00:13:07,-11.5,50.0
2025-11-18 00:18:47,-13.0,46.0
2025-11-18 00:24:27,-14.0,46.0
2025-11-18 00:30:07,-15.5,44.5
2025-11-18 00:35:48,-13.5,45.5
2025-11-18 00:41:43,-9.0,46.0
2025-11-18 00:47:25,-6.0,44.5
2025-11-18 00:53:04,-4.5,43.5
2025-11-18 00:58:45,-4.0,47.0
2025-11-18 01:04:25,-3.0,48.5
2025-11-18 01:10:06,-2.5,45.5
2025-11-18 01:15:46,-1.5,44.0
2025-11-18 01:21:41,-1.0,43.0
2025-11-18 01:27:36,-0.5,44.5
2025-11-18 01:33:31,-0.5,50.5
2025-11-18 01:39:56,-0.5,44.0
2025-11-18 01:45:50,-0.5,45.5
2025-11-18 01:52:00,-0.5,46.0
2025-11-18 01:58:10,-0.5,44.0
2025-11-18 02:04:05,-1.0,50.5
2025-11-18 02:10:14,-1.0,44.0
2025-11-18 02:16:24,-1.0,47.5
2025-11-18 02:22:55,-1.0,45.0
2025-11-18 02:29:11,-1.0,47.0
2025-11-18 02:35:42,-1.0,46.0
2025-11-18 02:42:43,-1.0,50.5
2025-11-18 02:49:29,-1.5,46.5
2025-11-18 02:56:23,-1.5,46.5
2025-11-18 03:03:17,-1.5,47.0
2025-11-18 03:10:11,-1.0,48.0
2025-11-18 03:17:04,-1.0,48.5
2025-11-18 03:23:59,-1.0,44.5
2025-11-18 03:30:53,-1.0,47.0
2025-11-18 03:37:47,-1.0,46.0
2025-11-18 03:44:25,-1.0,54.5
2025-11-18 03:51:04,-1.0,46.0
2025-11-18 03:57:57,-0.5,46.5
2025-11-18 04:04:50,0.0,48.0
2025-11-18 04:11:43,0.5,46.5
2025-11-18 04:18:37,0.5,42.5
2025-11-18 04:25:26,0.5,44.0
2025-11-18 04:31:58,0.5,46.5
2025-11-18 04:38:32,0.5,43.5
2025-11-18 04:45:05,0.5,52.5
2025-11-18 04:51:53,1.0,42.0
2025-11-18 04:58:25,1.0,44.5
2025-11-18 05:04:14,1.5,48.0
2025-11-18 05:10:01,1.0,45.5
2025-11-18 05:15:35,1.0,44.5
2025-11-18 05:21:10,1.0,42.5
2025-11-18 05:26:50,0.5,44.5
2025-11-18 05:32:25,1.0,44.0
2025-11-18 05:38:07,1.0,46.0
2025-11-18 05:43:53,1.0,48.5
2025-11-18 05:50:09,0.5,58.5
2025-11-18 05:55:57,0.5,46.5
2025-11-18 06:01:52,0.5,45.5
2025-11-18 06:07:46,0.5,45.5
2025-11-18 06:13:28,0.5,44.5
2025-11-18 06:19:00,0.5,44.5
2025-11-18 06:24:20,0.5,50.0
2025-11-18 06:31:00,1.0,45.0
2025-11-18 06:36:40,0.5,47.5
2025-11-18 06:42:07,1.0,50.5
2025-11-18 06:47:32,1.0,49.5
2025-11-18 06:52:57,1.0500000000465661,53.5
2025-11-18 06:58:37,1.0,50.0
2025-11-18 07:04:17,1.0,47.5
2025-11-18 07:09:56,1.0,51.5
2025-11-18 07:15:36,1.5,48.5
2025-11-18 07:21:16,1.0,46.0
2025-11-18 07:27:09,1.5,52.5
2025-11-18 07:32:48,1.5,49.5
2025-11-18 07:38:28,2.0,51.0
2025-11-18 07:44:09,2.0,47.5
2025-11-18 07:49:50,1.5,48.0
2025-11-18 07:55:43,1.5,50.5
2025-11-18 08:01:30,2.0,54.5
2025-11-18 08:07:17,2.0,49.0
2025-11-18 08:12:58,1.5,49.5
2025-11-18 08:18:37,1.5,49.0
2025-11-18 08:24:32,1.0,50.0
2025-11-18 08:30:42,1.0,48.5
2025-11-18 08:36:36,1.0,53.5
2025-11-18 08:42:30,1.0,51.0
2025-11-18 08:48:24,1.0,51.5
2025-11-18 08:54:18,1.5,52.5
2025-11-18 08:59:58,1.0,48.0
2025-11-18 09:05:38,1.0,50.0
2025-11-18 09:11:04,1.0,52.0
2025-11-18 09:16:29,1.0,49.5
2025-11-18 09:21:55,0.5,52.5
2025-11-18 09:27:22,0.5,56.0
2025-11-18 09:32:49,0.5,54.5
2025-11-18 09:38:14,0.5,54.0
2025-11-18 09:43:40,0.0,57.5
2025-11-18 09:49:06,0.5,54.0
2025-11-18 09:54:31,0.5,59.0
2025-11-18 10:00:24,0.5,57.0
2025-11-18 10:05:45,0.5,59.0
2025-11-18 10:11:04,0.5,56.0
2025-11-18 10:16:24,0.5,58.5
2025-11-18 10:21:50,0.5,59.0
2025-11-18 10:27:15,0.0,60.5
2025-11-18 10:32:40,0.0,58.5
