key,timestamp,hour
2025/11/18/KIWA/KIWA20251118_000145_V06,2025-11-18 00:01:45,2025-11-18 00:00:00
2025/11/18/KIWA/KIWA20251118_000726_V06,2025-11-18 00:07:26,2025-11-18 00:00:00
2025/11/18/KIWA/KIWA20251118_001307_V06,2025-11-18 00:13:07,2025-11-18 00:00:00
2025/11/18/KIWA/KIWA20251118_001847_V06,2025-11-18 00:18:47,2025-11-18 00:00:00
2025/11/18/KIWA/KIWA20251118_002427_V06,2025-11-18 00:24:27,2025-11-18 00:00:00
2025/11/18/KIWA/KIWA20251118_003007_V06,2025-11-18 00:30:07,2025-11-18 00:00:00
2025/11/18/KIWA/KIWA20251118_003548_V06,2025-11-18 00:35:48,2025-11-18 00:00:00
2025/11/18/KIWA/KIWA20251118_004143_V06,2025-11-18 00:41:43,2025-11-18 00:00:00
2025/11/18/KIWA/KIWA20251118_004725_V06,2025-11-18 00:47:25,2025-11-18 00:00:00
2025/11/18/KIWA/KIWA20251118_005304_V06,2025-11-18 00:53:04,2025-11-18 00:00:00
2025/11/18/KIWA/KIWA20251118_005845_V06,2025-11-18 00:58:45,2025-11-18 00:00:00
2025/11/18/KIWA/KIWA20251118_010425_V06,2025-11-18 01:04:25,2025-11-18 01:00:00
2025/11/18/KIWA/KIWA20251118_011006_V06,2025-11-18 01:10:06,2025-11-18 01:00:00
2025/11/18/KIWA/KIWA20251118_011546_V06,2025-11-18 01:15:46,2025-11-18 01:00:00
2025/11/18/KIWA/KIWA20251118_012141_V06,2025-11-18 01:21:41,2025-11-18 01:00:00
2025/11/18/KIWA/KIWA20251118_012736_V06,2025-11-18 01:27:36,2025-11-18 01:00:00
2025/11/18/KIWA/KIWA20251118_013331_V06,2025-11-18 01:33:31,2025-11-18 01:00:00
2025/11/18/KIWA/KIWA20251118_013956_V06,2025-11-18 01:39:56,2025-11-18 01:00:00
2025/11/18/KIWA/KIWA20251118_014550_V06,2025-11-18 01:45:50,2025-11-18 01:00:00
2025/11/18/KIWA/KIWA20251118_015200_V06,2025-11-18 01:52:00,2025-11-18 01:00:00
2025/11/18/KIWA/KIWA20251118_015810_V06,2025-11-18 01:58:10,2025-11-18 01:00:00
2025/11/18/KIWA/KIWA20251118_020405_V06,2025-11-18 02:04:05,2025-11-18 02:00:00
2025/11/18/KIWA/KIWA20251118_021014_V06,2025-11-18 02:10:14,2025-11-18 02:00:00
2025/11/18/KIWA/KIWA20251118_021624_V06,2025-11-18 02:16:24,2025-11-18 02:00:00
2025/11/18/KIWA/KIWA20251118_022255_V06,2025-11-18 02:22:55,2025-11-18 02:00:00
2025/11/18/KIWA/KIWA20251118_022911_V06,2025-11-18 02:29:11,2025-11-18 02:00:00
2025/11/18/KIWA/KIWA20251118_023542_V06,2025-11-18 02:35:42,2025-11-18 02:00:00
2025/11/18/KIWA/KIWA20251118_024243_V06,2025-11-18 02:42:43,2025-11-18 02:00:00
2025/11/18/KIWA/KIWA20251118_024929_V06,2025-11-18 02:49:29,2025-11-18 02:00:00
2025/11/18/KIWA/KIWA20251118_025623_V06,2025-11-18 02:56:23,2025-11-18 02:00:00
2025/11/18/KIWA/KIWA20251118_030317_V06,2025-11-18 03:03:17,2025-11-18 03:00:00
2025/11/18/KIWA/KIWA20251118_031011_V06,2025-11-18 03:10:11,2025-11-18 03:00:00
2025/11/18/KIWA/KIWA20251118_031704_V06,2025-11-18 03:17:04,2025-11-18 03:00:00
2025/11/18/KIWA/KIWA20251118_032359_V06,2025-11-18 03:23:59,2025-11-18 03:00:00
2025/11/18/KIWA/KIWA20251118_033053_V06,2025-11-18 03:30:53,2025-11-18 03:00:00
2025/11/18/KIWA/KIWA20251118_033747_V06,2025-11-18 03:37:47,2025-11-18 03:00:00
2025/11/18/KIWA/KIWA20251118_034425_V06,2025-11-18 03:44:25,2025-11-18 03:00:00
2025/11/18/KIWA/KIWA20251118_035104_V06,2025-11-18 03:51:04,2025-11-18 03:00:00
2025/11/18/KIWA/KIWA20251118_035757_V06,2025-11-18 03:57:57,2025-11-18 03:00:00
2025/11/18/KIWA/KIWA20251118_040450_V06,2025-11-18 04:04:50,2025-11-18 04:00:00
2025/11/18/KIWA/KIWA20251118_041143_V06,2025-11-18 04:11:43,2025-11-18 04:00:00
2025/11/18/KIWA/KIWA20251118_041837_V06,2025-11-18 04:18:37,2025-11-18 04:00:00
2025/11/18/KIWA/KIWA20251118_042526_V06,2025-11-18 04:25:26,2025-11-18 04:00:00
2025/11/18/KIWA/KIWA20251118_043158_V06,2025-11-18 04:31:58,2025-11-18 04:00:00
2025/11/18/KIWA/KIWA20251118_043832_V06,2025-11-18 04:38:32,2025-11-18 04:00:00
2025/11/18/KIWA/KIWA20251118_044505_V06,2025-11-18 04:45:05,2025-11-18 04:00:00
2025/11/18/KIWA/KIWA20251118_045153_V06,2025-11-18 04:51:53,2025-11-18 04:00:00
2025/11/18/KIWA/KIWA20251118_045825_V06,2025-11-18 04:58:25,2025-11-18 04:00:00
2025/11/18/KIWA/KIWA20251118_050414_V06,2025-11-18 05:04:14,2025-11-18 05:00:00
2025/11/18/KIWA/KIWA20251118_051001_V06,2025-11-18 05:10:01,2025-11-18 05:00:00
2025/11/18/KIWA/KIWA20251118_051535_V06,2025-11-18 05:15:35,2025-11-18 05:00:00
2025/11/18/KIWA/KIWA20251118_052110_V06,2025-11-18 05:21:10,2025-11-18 05:00:00
2025/11/18/KIWA/KIWA20251118_052650_V06,2025-11-18 05:26:50,2025-11-18 05:00:00
2025/11/18/KIWA/KIWA20251118_053225_V06,2025-11-18 05:32:25,2025-11-18 05:00:00
2025/11/18/KIWA/KIWA20251118_053807_V06,2025-11-18 05:38:07,2025-11-18 05:00:00
2025/11/18/KIWA/KIWA20251118_054353_V06,2025-11-18 05:43:53,2025-11-18 05:00:00
2025/11/18/KIWA/KIWA20251118_055009_V06,2025-11-18 05:50:09,2025-11-18 05:00:00
2025/11/18/KIWA/KIWA20251118_055557_V06,2025-11-18 05:55:57,2025-11-18 05:00:00
2025/11/18/KIWA/KIWA20251118_060152_V06,2025-11-18 06:01:52,2025-11-18 06:00:00
2025/11/18/KIWA/KIWA20251118_060746_V06,2025-11-18 06:07:46,2025-11-18 06:00:00
2025/11/18/KIWA/KIWA20251118_061328_V06,2025-11-18 06:13:28,2025-11-18 06:00:00
2025/11/18/KIWA/KIWA20251118_061900_V06,2025-11-18 06:19:00,2025-11-18 06:00:00
2025/11/18/KIWA/KIWA20251118_062420_V06,2025-11-18 06:24:20,2025-11-18 06:00:00
